object_name,object_id,norad_id,object_type,ops_status,owner,launch_date,launch_site,decay_date,period_minutes,inclination_degrees,apogee_km,perigee_km,rcs,data_status,orbit_center,orbit_type,orbit_class,users,purpose,source,category
VANGUARD 1,1958-002B,5,PAY,,US,1958-03-17,AFETR,,132.6,34.25,3820.0,651.0,0.122,,EA,ORB,MEO,,,left_only,Inactive Satellite
VANGUARD 2,1959-001A,11,PAY,,US,1959-02-17,AFETR,,120.99,32.88,2898.0,552.0,0.3931,,EA,ORB,LEO,,,left_only,Inactive Satellite
VANGUARD R/B,1959-001B,12,R/B,,US,1959-02-17,AFETR,,125.38,32.9,3287.0,553.0,0.5266,,EA,ORB,LEO,,,left_only,Rocket Body
VANGUARD R/B,1958-002A,16,R/B,,US,1958-03-17,AFETR,,137.2,34.27,4216.0,651.0,0.2282,,EA,ORB,MEO,,,left_only,Rocket Body
VANGUARD 3,1959-007A,20,PAY,,US,1959-09-18,AFETR,,123.95,33.35,3207.0,506.0,0.6412,,EA,ORB,LEO,,,left_only,Inactive Satellite
EXPLORER 7,1959-009A,22,PAY,,US,1959-10-13,AFETR,,94.45,50.24,551.0,434.0,0.5003,,EA,ORB,LEO,,,left_only,Inactive Satellite
PIONEER 5,1960-001A,27,PAY,,US,1960-03-11,AFETR,,,,,,0.0008,NEA,SU,ORB,Unknown,,,left_only,Inactive Satellite
TIROS 1,1960-002B,29,PAY,-,US,1960-04-01,AFETR,,97.4,48.38,650.0,618.0,0.803,,EA,ORB,LEO,,,left_only,Inactive Satellite
TRANSIT 2A,1960-007A,45,PAY,,US,1960-06-22,AFETR,,100.29,66.69,956.0,589.0,0.4299,,EA,ORB,LEO,,,left_only,Inactive Satellite
SOLRAD 1 (GREB),1960-007B,46,PAY,,US,1960-06-22,AFETR,,99.0,66.69,845.0,576.0,0.3501,,EA,ORB,LEO,,,left_only,Inactive Satellite
THOR ABLESTAR R/B,1960-007C,47,R/B,,US,1960-06-22,AFETR,,99.65,66.66,903.0,581.0,2.9661,,EA,ORB,LEO,,,left_only,Rocket Body
DELTA 1 R/B,1960-009B,50,R/B,,US,1960-08-12,AFETR,,118.02,47.23,1682.0,1501.0,0.594,,EA,ORB,LEO,,,left_only,Rocket Body
ECHO 1 DEB [METAL OBJ],1960-009C,51,DEB,,US,1960-08-12,AFETR,,118.19,47.21,1688.0,1511.0,0.5289,,EA,ORB,LEO,,,left_only,Debris
ECHO 1 DEB [MYLAR OBJ],1960-009D,52,DEB,,US,1960-08-12,AFETR,,118.26,47.38,1711.0,1494.0,0.003,,EA,ORB,LEO,,,left_only,Debris
ECHO 1 DEB [METAL OBJ],1960-009E,53,DEB,,US,1960-08-12,AFETR,,118.28,47.28,1682.0,1526.0,0.581,,EA,ORB,LEO,,,left_only,Debris
COURIER 1B,1960-013A,58,PAY,,US,1960-10-04,AFETR,,106.95,28.33,1209.0,962.0,1.2843,,EA,ORB,LEO,,,left_only,Inactive Satellite
THOR ABLESTAR R/B,1960-013B,59,R/B,,US,1960-10-04,AFETR,,106.42,28.25,1201.0,920.0,3.4517,,EA,ORB,LEO,,,left_only,Rocket Body
VENERA 1,1961-003A,80,PAY,,CIS,1961-02-12,TYMSC,,,,,,0.0039,NEA,SU,ORB,Unknown,,,left_only,Inactive Satellite
SCOUT X-1 R/B,1961-004B,82,R/B,,US,1961-02-16,WLPIS,,117.28,38.85,2485.0,632.0,0.533,,EA,ORB,LEO,,,left_only,Rocket Body
EXPLORER 11,1961-013A,107,PAY,,US,1961-04-27,AFETR,,101.33,28.78,1180.0,463.0,0.4538,,EA,ORB,LEO,,,left_only,Inactive Satellite
LUNA 1,1959-012A,112,PAY,,CIS,1959-01-02,TYMSC,,,,,,,NEA,SU,ORB,Unknown,,,left_only,Inactive Satellite
PIONEER 4,1959-013A,113,PAY,,US,1959-03-03,AFETR,,,,,,,NEA,SU,ORB,Unknown,,,left_only,Inactive Satellite
THOR ABLE DEB [YO],1960-002D,115,DEB,,US,1960-04-01,AFETR,,96.19,48.16,596.0,557.0,0.0471,,EA,ORB,LEO,,,left_only,Debris
TRANSIT 4A,1961-015A,116,PAY,,US,1961-06-29,AFETR,,103.43,66.81,974.0,867.0,0.7486,,EA,ORB,LEO,,,left_only,Inactive Satellite
SOLRAD 3 & INJUN 1,1961-015B,117,PAY,,US,1961-06-29,AFETR,,103.58,66.81,981.0,875.0,0.4239,,EA,ORB,LEO,,,left_only,Inactive Satellite
THOR ABLESTAR R/B,1961-015C,118,R/B,,US,1961-06-29,AFETR,,102.66,66.76,943.0,827.0,1.6476,,EA,ORB,LEO,,,left_only,Rocket Body
THOR ABLESTAR DEB,1961-015D,119,DEB,,US,1961-06-29,AFETR,,100.91,66.73,873.0,730.0,0.2397,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015E,120,DEB,,US,1961-06-29,AFETR,,100.75,66.71,869.0,719.0,0.184,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015F,121,DEB,,US,1961-06-29,AFETR,,102.84,66.75,956.0,830.0,0.2591,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015G,122,DEB,,US,1961-06-29,AFETR,,96.15,66.74,604.0,544.0,0.324,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015H,123,DEB,,US,1961-06-29,AFETR,,99.9,66.69,830.0,678.0,0.1157,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015J,124,DEB,,US,1961-06-29,AFETR,,100.3,66.55,827.0,718.0,0.0983,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015K,125,DEB,,US,1961-06-29,AFETR,,102.3,66.88,921.0,815.0,0.042,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015L,126,DEB,,US,1961-06-29,AFETR,,99.7,66.71,786.0,703.0,0.319,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015M,127,DEB,,US,1961-06-29,AFETR,,99.45,66.83,774.0,691.0,0.3519,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015N,128,DEB,,US,1961-06-29,AFETR,,102.71,66.67,950.0,824.0,0.1654,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015Q,130,DEB,,US,1961-06-29,AFETR,,102.9,66.77,955.0,837.0,0.439,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015R,131,DEB,,US,1961-06-29,AFETR,,102.73,66.73,946.0,829.0,0.1233,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015S,132,DEB,,US,1961-06-29,AFETR,,103.24,66.66,971.0,853.0,0.254,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015T,133,DEB,,US,1961-06-29,AFETR,,101.21,67.11,856.0,776.0,0.6005,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015U,134,DEB,,US,1961-06-29,AFETR,,103.03,66.88,965.0,838.0,1.557,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015W,136,DEB,,US,1961-06-29,AFETR,,99.89,67.53,786.0,721.0,0.1039,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015Y,138,DEB,,US,1961-06-29,AFETR,,102.52,67.15,904.0,853.0,0.1008,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AB,141,DEB,,US,1961-06-29,AFETR,,103.68,66.59,970.0,895.0,0.3,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AE,144,DEB,,US,1961-06-29,AFETR,,103.48,66.5,948.0,898.0,0.0791,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AF,145,DEB,,US,1961-06-29,AFETR,,102.62,66.93,925.0,841.0,0.1138,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AH,147,DEB,,US,1961-06-29,AFETR,,101.13,66.62,850.0,774.0,0.1196,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AJ,148,DEB,,US,1961-06-29,AFETR,,102.09,65.77,956.0,759.0,0.124,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AL,150,DEB,,US,1961-06-29,AFETR,,104.07,66.25,996.0,905.0,0.2067,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AN,152,DEB,,US,1961-06-29,AFETR,,102.03,66.59,968.0,741.0,0.235,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AQ,154,DEB,,US,1961-06-29,AFETR,,102.4,66.66,928.0,817.0,0.271,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AR,155,DEB,,US,1961-06-29,AFETR,,99.22,66.88,747.0,695.0,0.038,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AU,158,DEB,,US,1961-06-29,AFETR,,113.73,67.07,1873.0,923.0,0.1867,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AV,159,DEB,,US,1961-06-29,AFETR,,110.51,65.52,1534.0,966.0,0.1792,,EA,ORB,LEO,,,left_only,Debris
TIROS 3,1961-017A,162,PAY,-,US,1961-07-12,AFETR,,99.63,47.9,772.0,710.0,0.8244,,EA,ORB,LEO,,,left_only,Inactive Satellite
MIDAS 3,1961-018A,163,PAY,,US,1961-07-12,AFWTR,,161.46,91.1,3543.0,3345.0,9.2155,,EA,ORB,MEO,,,left_only,Inactive Satellite
DELTA 1 DEB [YO],1961-017D,167,DEB,,US,1961-07-12,AFETR,,101.12,47.85,877.0,747.0,0.046,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AY,172,DEB,,US,1961-06-29,AFETR,,105.95,67.07,1137.0,941.0,0.072,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015BB,177,DEB,,US,1961-06-29,AFETR,,101.78,66.65,923.0,763.0,0.111,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015BC,178,DEB,,US,1961-06-29,AFETR,,103.37,66.87,971.0,865.0,0.096,,EA,ORB,LEO,,,left_only,Debris
MIDAS 3 DEB,1961-018C,188,DEB,,US,1961-07-12,AFWTR,,161.1,91.1,3548.0,3311.0,0.5766,,EA,ORB,MEO,,,left_only,Debris
MIDAS 4,1961-028A,192,PAY,,US,1961-10-21,AFWTR,,165.94,95.82,3761.0,3489.0,7.9063,,EA,ORB,MEO,,,left_only,Inactive Satellite
MIDAS 4 DEB,1961-028C,194,DEB,,US,1961-10-21,AFWTR,,165.5,95.83,4021.0,3193.0,0.5854,,EA,ORB,MEO,,,left_only,Debris
MIDAS 4 DEB,1961-028D,195,DEB,,US,1961-10-21,AFWTR,,166.35,95.83,3769.0,3514.0,0.5726,,EA,ORB,MEO,,,left_only,Debris
MIDAS 3 DEB,1961-018D,196,DEB,,US,1961-07-12,AFWTR,,161.86,91.11,3553.0,3367.0,0.5559,,EA,ORB,MEO,,,left_only,Debris
TRANSIT 4B,1961-031A,202,PAY,,US,1961-11-15,AFETR,,105.59,32.44,1097.0,947.0,1.9757,,EA,ORB,LEO,,,left_only,Inactive Satellite
THOR ABLESTAR R/B,1961-031C,204,R/B,,US,1961-11-15,AFETR,,105.49,32.44,1090.0,944.0,3.181,,EA,ORB,LEO,,,left_only,Rocket Body
TRAAC,1961-031B,205,PAY,,US,1961-11-15,AFETR,,105.68,32.44,1102.0,951.0,0.5519,,EA,ORB,LEO,,,left_only,Inactive Satellite
THOR ABLESTAR DEB,1961-015BE,210,DEB,,US,1961-06-29,AFETR,,103.68,66.46,962.0,903.0,0.157,,EA,ORB,LEO,,,left_only,Debris
RANGER 3,1962-001A,221,PAY,,US,1962-01-26,AFETR,,,,,,,NEA,SU,ORB,Unknown,,,left_only,Inactive Satellite
ATLAS AGENA B R/B,1962-001B,222,R/B,,US,1962-01-26,AFETR,,,,,,0.0038,NEA,SU,ORB,Unknown,,,left_only,Rocket Body
THOR ABLESTAR DEB,1961-015BK,223,DEB,,US,1961-06-29,AFETR,,103.67,66.89,977.0,887.0,0.1407,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015BL,224,DEB,,US,1961-06-29,AFETR,,101.99,66.73,896.0,810.0,0.122,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015BM,225,DEB,,US,1961-06-29,AFETR,,100.13,66.8,839.0,691.0,0.0172,,EA,ORB,LEO,,,left_only,Debris
TIROS 4,1962-002A,226,PAY,-,US,1962-02-08,AFETR,,99.51,48.3,790.0,681.0,0.812,,EA,ORB,LEO,,,left_only,Inactive Satellite
DELTA 1 DEB [YO],1962-002B,227,DEB,,US,1962-02-08,AFETR,,99.96,48.15,847.0,666.0,0.047,,EA,ORB,LEO,,,left_only,Debris
DELTA 1 DEB [YO],1962-002C,228,DEB,,US,1962-02-08,AFETR,,93.39,48.43,444.0,437.0,0.045,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015BN,230,DEB,,US,1961-06-29,AFETR,,103.1,66.88,978.0,832.0,0.0891,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015BQ,232,DEB,,US,1961-06-29,AFETR,,102.81,66.82,936.0,847.0,0.1811,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015BS,234,DEB,,US,1961-06-29,AFETR,,102.56,66.87,935.0,825.0,0.0529,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015BT,235,DEB,,US,1961-06-29,AFETR,,102.04,66.96,967.0,743.0,0.0754,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015BY,243,DEB,,US,1961-06-29,AFETR,,102.74,66.46,909.0,867.0,0.049,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015BZ,244,DEB,,US,1961-06-29,AFETR,,103.18,66.84,961.0,857.0,0.0508,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015CA,245,DEB,,US,1961-06-29,AFETR,,101.56,66.1,874.0,791.0,0.1067,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015CB,246,DEB,,US,1961-06-29,AFETR,,103.89,66.87,994.0,890.0,0.1262,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015CD,252,DEB,,US,1961-06-29,AFETR,,104.52,67.08,1014.0,930.0,0.0769,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015CE,253,DEB,,US,1961-06-29,AFETR,,93.66,66.9,455.0,452.0,0.045,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015CF,254,DEB,,US,1961-06-29,AFETR,,99.17,66.77,764.0,674.0,0.058,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015CG,260,DEB,,US,1961-06-29,AFETR,,99.75,66.77,781.0,712.0,0.0278,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015CH,261,DEB,,US,1961-06-29,AFETR,,102.79,66.68,949.0,832.0,0.0421,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015CJ,262,DEB,,US,1961-06-29,AFETR,,98.69,66.46,740.0,652.0,0.0914,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015CK,263,DEB,,US,1961-06-29,AFETR,,99.53,66.53,804.0,668.0,0.0425,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015CL,264,DEB,,US,1961-06-29,AFETR,,100.12,66.52,777.0,751.0,0.159,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015CN,268,DEB,,US,1961-06-29,AFETR,,115.05,67.94,1967.0,948.0,0.141,,EA,ORB,LEO,,,left_only,Debris
MIDAS 5 (STRONGBACK),1962-010A,271,PAY,,US,1962-04-09,AFWTR,,152.98,86.67,3407.0,2787.0,8.2159,,EA,ORB,MEO,,,left_only,Inactive Satellite
MIDAS 5 DEB,1962-010C,273,DEB,,US,1962-04-09,AFWTR,,152.57,86.67,3389.0,2771.0,0.394,,EA,ORB,MEO,,,left_only,Debris
MIDAS 5 DEB,1962-010D,274,DEB,,US,1962-04-09,AFWTR,,153.29,86.67,3442.0,2778.0,0.501,,EA,ORB,MEO,,,left_only,Debris
ATLAS AGENA B R/B,1962-012B,282,R/B,,US,1962-04-23,AFETR,,,,,,0.0067,NEA,SU,ORB,Unknown,,,left_only,Rocket Body
THOR ABLESTAR DEB,1961-015CQ,299,DEB,,US,1961-06-29,AFETR,,105.19,67.17,1142.0,865.0,0.049,,EA,ORB,LEO,,,left_only,Debris
TIROS 5,1962-025A,309,PAY,-,US,1962-06-19,AFETR,,98.6,58.09,825.0,559.0,0.7711,,EA,ORB,LEO,,,left_only,Inactive Satellite
DELTA 1 DEB [YO],1962-025C,312,DEB,,US,1962-06-19,AFETR,,98.54,58.24,828.0,549.0,0.0431,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015CW,320,DEB,,US,1961-06-29,AFETR,,100.74,66.91,887.0,700.0,0.1102,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015CZ,323,DEB,,US,1961-06-29,AFETR,,101.68,66.84,895.0,781.0,0.048,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015DA,324,DEB,,US,1961-06-29,AFETR,,101.9,66.86,894.0,803.0,0.0312,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015DB,325,DEB,,US,1961-06-29,AFETR,,101.21,66.91,854.0,777.0,0.036,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015DD,327,DEB,,US,1961-06-29,AFETR,,103.54,66.54,1012.0,839.0,0.038,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015DF,329,DEB,,US,1961-06-29,AFETR,,105.41,66.78,1094.0,934.0,0.05,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015DG,330,DEB,,US,1961-06-29,AFETR,,102.38,66.98,910.0,832.0,0.0622,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015DK,333,DEB,,US,1961-06-29,AFETR,,97.12,66.7,643.0,599.0,0.0126,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015DL,334,DEB,,US,1961-06-29,AFETR,,103.47,66.92,983.0,862.0,0.0542,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015DM,335,DEB,,US,1961-06-29,AFETR,,101.22,66.84,848.0,786.0,0.017,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015DN,336,DEB,,US,1961-06-29,AFETR,,105.17,67.03,1064.0,941.0,0.04,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015DP,337,DEB,,US,1961-06-29,AFETR,,104.63,67.01,1052.0,902.0,0.0699,,EA,ORB,LEO,,,left_only,Debris
TELSTAR 1,1962-029A,340,PAY,,US,1962-07-10,AFETR,,157.74,44.8,5639.0,946.0,0.5046,,EA,ORB,MEO,,,left_only,Inactive Satellite
DELTA 1 R/B,1962-029B,341,R/B,,US,1962-07-10,AFETR,,157.5,44.8,5625.0,940.0,0.4564,,EA,ORB,MEO,,,left_only,Rocket Body
THOR ABLESTAR DEB,1961-015DQ,350,DEB,,US,1961-06-29,AFETR,,101.23,66.91,911.0,722.0,0.114,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015DR,351,DEB,,US,1961-06-29,AFETR,,97.1,66.74,633.0,608.0,0.0082,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015DU,354,DEB,,US,1961-06-29,AFETR,,106.72,67.07,1195.0,954.0,0.0729,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015DV,355,DEB,,US,1961-06-29,AFETR,,107.95,67.23,1317.0,947.0,0.1285,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015DX,357,DEB,,US,1961-06-29,AFETR,,102.18,66.81,874.0,850.0,0.052,,EA,ORB,LEO,,,left_only,Debris
FTV 3502,1962-039A,369,PAY,,US,1962-08-23,AFWTR,,96.54,98.47,647.0,538.0,0.3354,,EA,ORB,LEO,,,left_only,Inactive Satellite
MARINER 2,1962-041A,374,PAY,,US,1962-08-27,AFETR,,,,,,0.0005,NEA,SU,ORB,Unknown,,,left_only,Inactive Satellite
ATLAS AGENA B R/B,1962-041B,375,R/B,,US,1962-08-27,AFETR,,,,,,0.0018,NEA,SU,ORB,Unknown,,,left_only,Rocket Body
TIROS 6,1962-047A,397,PAY,-,US,1962-09-18,AFETR,,96.29,58.3,585.0,577.0,0.7579,,EA,ORB,LEO,,,left_only,Inactive Satellite
THOR ABLESTAR DEB,1961-015EB,402,DEB,,US,1961-06-29,AFETR,,97.95,66.65,675.0,646.0,0.042,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015EC,403,DEB,,US,1961-06-29,AFETR,,104.26,66.84,980.0,939.0,0.0338,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015ED,404,DEB,,US,1961-06-29,AFETR,,111.42,66.47,1723.0,862.0,0.1279,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015EE,405,DEB,,US,1961-06-29,AFETR,,105.37,66.89,1079.0,945.0,0.067,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015EF,406,DEB,,US,1961-06-29,AFETR,,105.15,66.78,1085.0,918.0,0.0352,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015EH,408,DEB,,US,1961-06-29,AFETR,,104.57,66.79,1026.0,923.0,0.1288,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015EJ,409,DEB,,US,1961-06-29,AFETR,,100.8,66.71,847.0,746.0,0.0156,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015EK,410,DEB,,US,1961-06-29,AFETR,,104.61,66.69,982.0,970.0,0.1102,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015EP,414,DEB,,US,1961-06-29,AFETR,,104.53,66.44,1010.0,935.0,0.1118,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015ER,416,DEB,,US,1961-06-29,AFETR,,101.8,66.5,905.0,783.0,0.061,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015ES,417,DEB,,US,1961-06-29,AFETR,,101.37,66.74,876.0,771.0,0.0298,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015EV,420,DEB,,US,1961-06-29,AFETR,,100.44,66.81,842.0,717.0,0.035,,EA,ORB,LEO,,,left_only,Debris
ALOUETTE 1 (S-27),1962-049A,424,PAY,,CA,1962-09-29,AFWTR,,105.14,80.47,1017.0,985.0,1.08,,EA,ORB,LEO,,,left_only,Inactive Satellite
THOR AGENA B R/B,1962-049B,426,R/B,,US,1962-09-29,AFWTR,,105.21,80.47,1017.0,992.0,5.11,,EA,ORB,LEO,,,left_only,Rocket Body
RANGER 5,1962-055A,439,PAY,,US,1962-10-18,AFETR,,,,,,,NEA,SU,ORB,Unknown,,,left_only,Inactive Satellite
ATLAS AGENA B R/B,1962-055B,440,R/B,,US,1962-10-18,AFETR,,,,,,,NEA,SU,ORB,Unknown,,,left_only,Rocket Body
ANNA 1B,1962-060A,446,PAY,,US,1962-10-31,AFETR,,107.84,50.14,1179.0,1074.0,0.8349,,EA,ORB,LEO,,,left_only,Inactive Satellite
THOR ABLESTAR R/B,1962-060B,447,R/B,,US,1962-10-31,AFETR,,107.53,50.13,1162.0,1063.0,3.3285,,EA,ORB,LEO,,,left_only,Rocket Body
MARS 1,1962-061C,450,PAY,,CIS,1962-11-01,TYMSC,,,,,,,NEA,SU,ORB,Unknown,,,left_only,Inactive Satellite
THOR ABLESTAR DEB,1961-015EX,461,DEB,,US,1961-06-29,AFETR,,95.94,67.49,577.0,552.0,0.106,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015EZ,463,DEB,,US,1961-06-29,AFETR,,98.88,66.77,736.0,674.0,0.0416,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015FB,465,DEB,,US,1961-06-29,AFETR,,99.98,66.32,776.0,739.0,0.0565,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015FD,467,DEB,,US,1961-06-29,AFETR,,106.12,66.56,1223.0,871.0,0.0388,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015FF,469,DEB,,US,1961-06-29,AFETR,,100.36,66.83,821.0,731.0,0.0543,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015FG,470,DEB,,US,1961-06-29,AFETR,,102.19,66.23,905.0,820.0,0.0161,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015FM,475,DEB,,US,1961-06-29,AFETR,,101.19,66.22,917.0,713.0,0.05,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015FQ,478,DEB,,US,1961-06-29,AFETR,,96.51,66.06,607.0,577.0,0.0192,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015FS,480,DEB,,US,1961-06-29,AFETR,,99.88,66.24,814.0,692.0,0.0205,,EA,ORB,LEO,,,left_only,Debris
RELAY 1 (A-15),1962-068A,503,PAY,,US,1962-12-13,AFETR,,185.05,47.5,7435.0,1322.0,0.9221,,EA,ORB,MEO,,,left_only,Inactive Satellite
EXPLORER 16,1962-070A,506,PAY,,US,1962-12-16,WLPIS,,103.91,52.01,1145.0,742.0,0.599,,EA,ORB,LEO,,,left_only,Inactive Satellite
THOR AGENA B DEB,1962-049C,510,DEB,,US,1962-09-29,AFWTR,,105.11,80.52,1011.0,987.0,0.019,,EA,ORB,LEO,,,left_only,Debris
THOR AGENA B DEB,1962-049D,511,DEB,,US,1962-09-29,AFWTR,,105.22,80.43,1028.0,981.0,0.0194,,EA,ORB,LEO,,,left_only,Debris
DELTA 1 R/B,1962-068B,515,R/B,,US,1962-12-13,AFETR,,184.8,47.49,7416.0,1321.0,0.4635,,EA,ORB,MEO,,,left_only,Rocket Body
THOR ABLESTAR DEB,1961-015FT,516,DEB,,US,1961-06-29,AFETR,,103.4,65.99,983.0,855.0,0.132,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015FU,530,DEB,,US,1961-06-29,AFETR,,102.9,66.88,958.0,834.0,0.0608,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015FW,537,DEB,,US,1961-06-29,AFETR,,105.5,67.23,1143.0,893.0,0.0361,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015FX,538,DEB,,US,1961-06-29,AFETR,,98.37,67.81,684.0,678.0,0.056,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015GA,541,DEB,,US,1961-06-29,AFETR,,103.87,67.22,995.0,888.0,0.0301,,EA,ORB,LEO,,,left_only,Debris
